APARATO,MARCA,MODELO,NUMERO_SER,FECHA,ENCARGADO,POSICION,INV_V04,FECHA_INV,STATUS,CHK,INVENTARIO,NUEVA_POS,POS_TEMP,REP_MTTO,INVO02,POS_MAY19,NO_AF,INV_P11,POSP18,RESPONINV,HORA_INV,GRUPO,ES_AF
ANALIZADOR SPECTROS,HEWLETT PACKARD,8559A,2010A08268,1986-07-25,,E117020,,2019-12-09,P,INV,ET,E003233,E005152,0.0,,E003233,15689,,,HERRER,1115.0,ANALI,p
FUENTE DE PODER,KIKUSUI,PWCO620,1050042,1988-12-20,,E901211,OK,2018-05-18,P,INV,ET,EFU1351,E007163,439.0,CAMBIO,EFU1273,16041,INV,,HERRER,1019.0,FUE,S
FUENTE DE PODER,KIKUSUI,PWCO620,1050043,1988-12-20,,E901212,OK,2018-05-18,P,INV,ET,EFU1352,E007261,440.0,CAMBIO,EFU1281,16045,INV,,HERRER,1019.0,FUE,S
FUENTE DE PODER,KIKUSUI,PWCO620,1050045,1988-12-20,,E901213,OK,2018-05-18,P,INV,ET,EFU1231,E007262,441.0,CAMBIO,EFU1282,SNAF,INV,,HERRER,1019.0,FUE,N
FUENTE DE PODER,KIKUSUI,PWCO620,1940381,1988-12-20,,E901221,OK,2018-05-18,P,INV,ET,EFU1232,E007263,442.0,CAMBIO,EFU1283,16030,INV,,HERRER,1020.0,FUE,S
POWER SUPPLY DUAL,LAB VOLT,9401-00,ER,1990-07-07,,E705121,,2018-05-18,P,INV,ET,E001221,E007211,503.0,790236,EFU1211,15678,INV,,HERRER,823.0,FUE,S
GENERADOR DE BARRIDO,WAVETEK,185,B269745,1988-12-19,,E702315,OK,2018-05-17,P,INV,ET,EGE1421,E007411,26.0,790236,EGE1421,16098,INV,,HERRER,1213.0,GEN,S
GENERADOR DE BARRIDO,WAVETEK,185,B269746,1988-12-19,,E702316,OK,2018-05-17,P,INV,ET,EGE1422,E007412,27.0,790236,EGE1422,16116,INV,,HERRER,1213.0,GEN,S
GENERADOR DE BARRIDO,WAVETEK,185,B269747,1988-12-19,,E702321,OK,2018-05-17,P,INV,ET,EGE1431,E007421,28.0,790236,EGE1431,16068,INV,,HERRER,1211.0,GEN,S
GENERADOR DE BARRIDO,WAVETEK,185,B269753,1988-12-19,,E702322,OK,2018-05-17,P,INV,ET,EGE1432,E007422,29.0,790236,EGE1432,16065,INV,,HERRER,1212.0,GEN,S
GENERADOR DE BARRIDO,WILTRON COMP.,610C,71570,1984-10-01,,E117013,OK,2019-12-09,P,E,ET,E008111,E005252,0.0,,E003221,16110,,,HERRER,1120.0,GEN,S
MULTIMETRO DIGITAL,FLUKE,23,37101481,1988-12-13,,E701281,OK,2020-02-25,P,E,ET,E00C122,E00811D,285.0,790236,E00914D,AF/004455,INV,,HERRER,1041.0,MULT,S
MULTIMETRO DIGITAL,FLUKE,23,37101482,1988-12-13,,E701282,OK,2020-01-22,P,INV,ET,E00C124,E00811E,484.0,790236,E00914E,16576,INV,,HERRER,1035.0,MULT,S
MULTIMETRO DIGITAL,FLUKE,23,37101483,1988-12-13,,E701283,OK,2023-02-03,P,E,ET,E00C121,E00811F,483.0,790236,E00914C,AF/004460,INV,,HERRER,1221.0,MULT,S
MULTIMETRO DIGITAL,FLUKE,77,37457307,1988-12-13,83,E70128B,OK,2023-11-18,P,INV,ET,E00C164,E00811B,286.0,790236,E009162,16536,INV,,HERRER,1044.0,MULT,S
MULTIMETRO DIGITAL,FLUKE,77,37457367,1988-12-13,,E70128C,OK,2018-05-17,P,E,ET,E00C133,E00811C,627.0,790236,E009163,16551,,,HERRER,1036.0,MULT,S
CPU 214 SIMATIC S7,SIEMENS,S7-200,214-1BC01-0XB0,1988-12-13,000209,E903521,OK,2018-05-17,P,INV,ET,E006135,E001141,0.0,CAMBIO,E008131,SNAF,INV,,HERRER,1514.0,PLC,N
MULTIMETRO DIGITAL,FLUKE,8060A,6100071,1988-12-13,000206,E901116,OK,2018-05-18,P,E,ET,EMTMU10,E008147,472.0,682390,E009117,16556,,,HERRER,1046.0,MULT,S
MULTIMETRO DIGITAL,FLUKE,8060A,6100072,1988-12-13,000206,E901117,OK,2018-05-18,P,E,ET,EMTMU11,E008148,473.0,682390,E009118,16566,,,HERRER,1047.0,MULT,S
MULTIMETRO DIGITAL,FLUKE,8060A,6100073,1988-12-13,000206,E901118,OK,2018-05-18,P,E,ET,EMTMU12,E008149,474.0,682390,E009119,16534,,,HERRER,1047.0,MULT,S
MULTIMETRO DIGITAL,KIKUSUI,1505,2710191,1988-12-14,000206,E90111B,OK,2018-05-18,P,E,ET,EMTMU18,E008113,486.0,682390,E009151,16562,,,HERRER,1048.0,MULT,S
MULTIMETRO DIGITAL,KIKUSUI,1505,2710198,1988-12-14,000202,E90111C,OK,2018-05-18,P,E,ET,E00B163,E008114,488.0,682390,E009153,16568,,,HERRER,1048.0,MULT,S
MULTIMETRO DIGITAL,KIKUSUI,1505,2710373,1988-12-14,000206,E90111D,OK,2018-05-18,P,E,ET,EMTMU19,E008115,487.0,682390,E009152,16575,,,HERRER,1047.0,MULT,S
OSCILOSCOPIO 60 MHZ,HEWLETT PACKARD,54603B,US39150937/0713,1900-02-14,000102,E702423,OK,2018-05-17,P,INV,ET,E002452,E006211,526.0,310333,E002211,74030,INV,,HERRER,1150.0,OSC,S
OSCILOSCOPIO 60 MHZ,HEWLETT PACKARD,54603B,US39150939/0714,1900-02-14,000102,E702422,OK,2018-05-17,P,INV,ET,E002462,E006212,531.0,310333,E002212,74033,INV,,HERRER,1150.0,OSC,S
OSCILOSCOPIO 60 MHZ,HEWLETT PACKARD,54603B,US36150940/0715,1900-02-14,000102,E702431,OK,2018-05-17,P,INV,ET,E002463,E006221,530.0,310333,E002221,74032,INV,,HERRER,1144.0,OSC,S
OSCILOSCOPIO 60 MHZ,HEWLETT PACKARD,54603B,US39150941/0723,1900-02-14,011767,E702432,OK,2019-11-26,P,INV,ET,E002471,E006222,528.0,310333,E002222,74031,INV,,HERRER,1144.0,OSC,S
OSCILOSCOPIO 60 MHZ,HEWLETT PACKARD,54603B,US39150942/0722,1900-02-14,,E702433,OK,2018-05-17,P,INV,ET,E002472,E006231,527.0,310333,E002231,74028,INV,,HERRER,1144.0,OSC,S
OSCILOSCOPIO 60 MHZ,HEWLETT PACKARD,54603B,US39150944/0724,1900-02-14,,E702483,OK,2018-05-17,P,INV,ET,E002482,E006241,532.0,310333,E002241,74026,INV,,HERRER,1140.0,OSC,S
OSCILOSCOPIO 60 MHZ,HEWLETT PACKARD,54603B,US39150945/0718,1900-02-14,,E702441,OK,2018-05-17,P,INV,ET,E002211,E006242,535.0,790236,E002242,74027,INV,,HERRER,1143.0,OSC,S
OSCILOSCOPIO 60 MHZ,HEWLETT PACKARD,54603B,US39150946/0716,1900-02-14,,E702442,OK,2018-05-17,P,INV,ET,E002212,E006251,534.0,790236,E002251,74024,INV,,HERRER,1143.0,OSC,S
VARIAC,CURTIN,116 B,5,1984-12-15,,E70736G,OK,2019-11-19,P,INV,ET,E004114,E004212,0.0,790236,E004112,17048,INV,,HERRER,949.0,VARIAC,S
MULTIMETRO DIGITAL,FLUKE,23,43360661,1988-12-13,83,E701285,OK,2024-05-03,P,INV,ET,E00C123,E00812D,481.0,790236,E009148,SNAF,INV,,HERRER,1043.0,MULT,N
MULTIMETRO DIGITAL,FLUKE,23,43360662,1988-12-13,,E701284,OK,2020-01-22,P,INV,ET,E00C111,E00812E,480.0,790236,E009147,16544,INV,,HERRER,1035.0,MULT,S
GENERADOR DE BARRIDO,WAVETEK,185,J6271705,1988-12-19,,E702323,OK,2018-05-17,P,INV,ET,EGE1441,E007431,30.0,790236,EGE1441,16095,INV,,HERRER,1212.0,GEN,S
GENERADOR DE BARRIDO,WAVETEK,185,J6370517,1988-12-19,831211,E702331,OK,2024-05-24,P,INV,OK,EGE2173,88GEN14,31.0,831211,EGE1442,16090,INV,,HERRER,1211.0,GEN,S
GENERADOR DE BARRIDO,WAVETEK,185,J6370521,1988-12-19,,E702318,OK,2018-05-17,P,INV,ET,EGE1451,E007441,32.0,790236,EGE1451,16079,INV,,HERRER,1211.0,GEN,S
GENERADOR DE BARRIDO,WAVETEK,185,J7061824,1988-12-19,,E702319,OK,2018-05-17,P,INV,ET,EGE1452,E007442,33.0,790236,EGE1452,16076,INV,,HERRER,1211.0,GEN,S
GENERADOR DE BARRIDO,WAVETEK,185,J7260298,1988-12-19,,E702317,OK,2018-05-17,P,INV,ET,EGE1461,E007451,34.0,790236,EGE1461,16072,INV,,HERRER,1210.0,GEN,S
GENERADOR PHASELOCK,WAVETEK,186,L6470096,1988-12-19,,E702311,OK,2018-05-17,P,INV,ET,EGE1471,E007461,36.0,790236,EGE1471,16103,INV,,HERRER,1212.0,GEN,S
GENERADOR PHASELOCK,WAVETEK,186,L6470104,1988-12-19,000101,E702314,OK,2018-05-17,P,INV,ET,EGE1472,E007462,37.0,790236,EGE1472,16107,INV,,HERRER,1212.0,GEN,S
GENERADOR PHASELOCK,WAVETEK,186,L6470099,1988-12-19,000101,E702312,OK,2018-05-17,P,INV,ET,EGE1482,E007472,39.0,790236,EGE1482,16112,INV,,HERRER,1212.0,GEN,S
GENERADOR PHASELOCK,WAVETEK,186,L6470101,1988-12-19,,E702313,OK,2018-05-17,P,INV,ET,EGE1481,E007471,38.0,790236,EGE1481,16060,INV,,HERRER,1212.0,GEN,S
FUNCTION ARBITRARY W,AGILENT,33120A,MY40011980,2003-01-07,,E702353,,2019-03-08,P,INV,OK,E007321,,0.0,790236,EGE1323,081776,,,HERRER,1121.0,GEN,S
LABORATORIO DIGITAL,POWERACE,102,4887065,1988-12-22,,E704284,OK,2018-05-17,P,INV,ET,E00D155,E002134,138.0,790236,E006234,17222,,,HERRER,1457.0,LAB DIG,S
LABORATORIO DIGITAL,POWERACE,102,4887024,1988-12-22,,E704275,OK,2018-05-17,P,INV,ET,E00D145,E002121,131.0,790236,E006221,17216,,,HERRER,1456.0,LAB DIG,S
LABORATORIO DIGITAL,POWERACE,102,4887028,1988-12-22,,E704285,OK,2018-05-17,P,INV,ET,E00D146,E002122,132.0,790236,E006222,17208,,,HERRER,1456.0,LAB DIG,S
